x,y,z,position
2.09,-7.35,-82.3,4
3.29,-6.44,-82.73,4
3.73,-7.11,-81.93,4
2.89,-7.55,-81.85,4
2.87,-6.5,-82.85,4
2.79,-9.07,-80.4,4
3.73,-5.76,-83.12,4
3.0,-7.47,-81.89,4
3.94,-5.91,-82.88,4
1.47,-6.87,-82.93,4
3.27,-6.17,-82.99,4
1.05,-7.05,-82.82,4
1.46,-8.52,-81.26,4
2.08,-6.79,-82.86,4
2.61,-7.68,-81.83,4
2.13,-7.77,-81.87,4
2.91,-7.34,-82.05,4
2.54,-7.83,-81.7,4
2.05,-7.77,-81.9,4
2.39,-9.18,-80.4,4
2.41,-7.82,-81.74,4
2.85,-7.26,-82.15,4
2.44,-8.33,-81.24,4
2.12,-7.44,-82.21,4
2.28,-7.1,-82.5,4
2.3,-7.72,-81.88,4
2.37,-7.38,-82.19,4
1.9,-7.93,-81.77,4
3.06,-8.07,-81.3,4
2.96,-7.74,-81.65,4
3.4,-8.88,-80.4,4
3.89,-9.59,-79.53,4
3.36,-9.3,-79.99,4
2.68,-9.29,-80.22,4
3.39,-8.85,-80.43,4
2.44,-8.67,-80.9,4
2.39,-10.41,-79.15,4
3.07,-8.14,-81.23,4
0.74,-9.16,-80.69,4
3.3,-9.23,-80.09,4
2.06,-9.24,-80.42,4
1.65,-8.26,-81.49,4
2.33,-7.8,-81.79,4
2.28,-9.04,-80.57,4
2.27,-8.65,-80.96,4
1.08,-8.86,-80.97,4
1.18,-8.57,-81.26,4
1.24,-8.82,-80.99,4
1.22,-9.77,-80.01,4
0.09,-10.58,-79.24,4
0.37,-8.96,-80.92,4
0.53,-9.03,-80.84,4
0.8,-7.74,-82.14,4
0.85,-9.63,-80.19,4
0.04,-8.58,-81.33,4
0.4,-8.19,-81.72,4
0.71,-8.94,-80.92,4
1.19,-9.09,-80.71,4
1.72,-7.41,-82.33,4
0.95,-8.29,-81.57,4
1.09,-8.03,-81.82,4
1.14,-8.63,-81.2,4
-0.24,-7.97,-81.95,4
-0.14,-8.58,-81.32,4
0.45,-7.94,-81.97,4
0.78,-7.78,-82.11,4
0.65,-8.47,-81.41,4
0.91,-9.58,-80.24,4
0.55,-8.57,-81.31,4
0.91,-8.25,-81.62,4
0.39,-8.27,-81.63,4
0.77,-7.61,-82.28,4
0.11,-7.71,-82.21,4
1.06,-9.31,-80.51,4
0.58,-8.94,-80.93,4
0.2,-8.96,-80.93,4
-0.13,-9.61,-80.25,4
0.37,-8.76,-81.13,4
0.7,-8.96,-80.9,4
-0.13,-8.39,-81.52,4
0.01,-8.54,-81.36,4
0.56,-9.39,-80.46,4
0.1,-8.69,-81.21,4
0.9599999,-9.52,-80.3,4
0.73,-9.16,-80.69,4
0.84,-9.63,-80.2,4
0.92,-9.4,-80.43,4
0.52,-9.45,-80.4,4
0.64,-9.69,-80.15,4
0.47,-9.73,-80.12,4
0.42,-9.2,-80.67,4
1.29,-8.82,-80.98,4
1.01,-9.05,-80.78,4
1.1,-9.7,-80.1,4
-0.03,-8.81,-81.08,4
-2.64,-8.87,-80.65,4
-2.11,-7.24,-82.41,4
-3.61,-8.08,-81.08,4
1.22,-7.46,-82.38,4
-1.07,-8.91,-80.92,4
0.42,-6.71,-83.23,4
2.72,-8.78,-80.71,4
1.46,-7.48,-82.32,4
4.15,-6.88,-81.92,4
3.9,-7.65,-81.36,4
5.15,-7.27,-81.05,4
1.22,-6.71,-83.13,4
2.9,-8.34,-81.09,4
2.42,-8.4,-81.17,4
2.95,-8.42,-81.0,4
2.68,-7.58,-81.9,4
1.94,-8.4,-81.29,4
1.32,-7.66,-82.16,4
2.78,-9.57,-79.91,4
2.66,-8.66,-80.85,4
1.8,-8.39,-81.33,4
2.06,-8.87,-80.79,4
2.3,-9.39,-80.21,4
2.06,-8.54,-81.13,4
1.63,-8.47,-81.29,4
2.9,-10.05,-79.39,4
1.47,-8.65,-81.13,4
1.97,-9.2,-80.48,4
2.1,-9.57,-80.07,4
2.46,-9.61,-79.95,4
2.27,-8.63,-80.98,4
1.81,-9.37,-80.34,4
1.65,-9.73,-79.99,4
1.44,-8.87,-80.91,4
2.56,-10.44,-79.08,4
1.47,-9.04,-80.73,4
1.42,-9.51,-80.25,4
2.87,-10.12,-79.32,4
1.36,-10.16,-79.59,4
2.37,-10.25,-79.32,4
2.15,-8.57,-81.07,4
2.39,-9.04,-80.55,4
2.14,-8.59,-81.06,4
3.11,-10.4,-78.98,4
1.64,-8.52,-81.23,4
1.75,-8.67,-81.06,4
1.95,-9.15,-80.53,4
2.39,-9.19,-80.39,4
1.01,-9.03,-80.8,4
