x,y,z,position
-3.75,2.4,85.54,0
-4.8,1.41,85.0,0
-4.48,1.79,85.17,0
-4.81,1.85,84.85,0
-4.48,2.16,85.02,0
-3.95,1.79,85.67,0
-2.36,2.21,86.77,0
-3.43,2.23,85.9,0
-3.5,2.39,85.76,0
-4.35,1.76,85.31,0
-4.44,1.85,85.19,0
-4.04,1.75,85.6,0
-4.01,1.77,85.61,0
-4.26,2.35,85.13,0
-5.07,2.22,84.47,0
-4.47,2.4,84.93,0
-4.45,2.48,84.91,0
-4.42,2.68,84.83,0
-4.03,2.76,85.11,0
-4.35,2.49,84.99,0
-3.87,2.66,85.3,0
-4.16,2.06,85.36,0
-4.73,2.49,84.65,0
-4.53,2.68,84.74,0
-4.54,2.54,84.79,0
-4.42,2.75,84.79,0
-3.99,2.45,85.32,0
-4.21,2.58,85.06,0
-4.37,2.78,84.82,0
-4.17,2.65,85.06,0
-3.82,3.1,85.08,0
-3.82,2.65,85.35,0
-3.79,2.8,85.29,0
-3.68,2.31,85.66,0
-3.82,2.9,85.2,0
-3.58,3.22,85.18,0
-3.62,2.46,85.62,0
-3.33,3.09,85.45,0
-3.74,2.89,85.27,0
-3.15,3.61,85.2,0
-2.58,2.66,86.29,0
-3.09,2.72,85.88,0
-2.22,2.93,86.32,0
-2.51,2.84,86.2,0
-3.12,3.03,85.65,0
-3.25,3.28,85.38,0
-3.07,3.36,85.44,0
-2.93,3.47,85.46,0
-3.94,3.08,85.0,0
-3.64,2.8,85.41,0
-3.07,2.64,85.95,0
-3.21,1.77,86.33,0
-3.29,2.98,85.56,0
-3.06,2.83,85.83,0
-2.83,3.17,85.75,0
-2.56,3.02,86.04,0
-2.67,3.01,85.98,0
-2.62,3.38,85.72,0
-3.39,3.0,85.47,0
-3.4,2.46,85.81,0
-3.22,2.67,85.82,0
-3.18,2.84,85.73,0
-3.03,2.77,85.89,0
-2.84,2.63,86.13,0
-2.62,2.86,86.12,0
-2.9,2.41,86.23,0
-3.16,2.7,85.84,0
-2.7,3.01,85.95,0
-2.51,2.99,86.09,0
-2.91,2.88,85.9,0
-2.62,2.89,86.1,0
-3.14,2.53,85.96,0
-3.72,3.05,85.19,0
-3.75,3.53,84.84,0
-3.18,3.33,85.39,0
-3.32,3.42,85.23,0
-3.53,3.54,85.0,0
-3.28,3.31,85.34,0
-2.67,3.24,85.8,0
-2.8,2.78,86.05,0
-2.11,2.44,86.77,0
-2.51,2.55,86.42,0
-2.5,2.54,86.43,0
-3.45,2.35,85.83,0
-3.43,2.43,85.8,0
-3.52,2.7,85.56,0
-2.86,2.75,86.03,0
-2.54,2.53,86.41,0
-3.14,2.84,85.77,0
-2.85,2.91,85.92,0
-2.55,3.11,85.97,0
-3.19,2.88,85.7,0
-2.68,3.42,85.65,0
-3.34,2.89,85.58,0
-3.53,3.15,85.27,0
-2.98,2.74,85.95,0
-3.85,2.96,85.14,0
-3.21,3.01,85.59,0
-3.44,3.05,85.4,0
-3.23,2.83,85.7,0
-3.17,2.59,85.91,0
-2.99,2.63,86.01,0
-2.93,2.74,85.99,0
-2.63,3.11,85.93,0
-2.8,2.79,86.04,0
-2.75,3.17,85.8,0
-2.88,2.85,85.95,0
-2.62,2.92,86.08,0
-2.79,2.6,86.19,0
-2.48,2.85,86.22,0
-3.08,2.63,85.95,0
-2.79,2.75,86.08,0
-3.58,2.5,85.64,0
-4.15,2.99,84.89,0
-3.71,2.84,85.33,0
-3.06,2.92,85.77,0
-2.91,2.79,85.97,0
-2.63,2.63,86.27,0
-3.18,3.04,85.6,0
-2.48,2.78,86.28,0
-2.7,2.81,86.1,0
-2.88,3.01,85.84,0
-2.25,2.84,86.38,0
-2.43,2.84,86.26,0
-2.39,3.17,86.03,0
-3.04,2.94,85.77,0
-2.33,2.53,86.56,0
-2.28,2.58,86.55,0
-3.08,2.2,86.21,0
-3.55,2.3,85.77,0
-3.43,2.53,85.74,0
-3.33,2.71,85.7,0
-2.87,2.77,86.01,0
-2.45,2.59,86.43,0
-2.19,2.65,86.56,0
-2.74,2.46,86.32,0
-2.11,2.36,86.83,0
-2.66,1.89,86.74,0
-3.07,2.55,86.01,0
-2.7,2.29,86.46,0
-2.74,1.98,86.62,0
-2.89,2.47,86.2,0
-2.48,2.4,86.55,0
-2.69,2.37,86.41,0
-2.81,2.61,86.16,0
-3.02,3.02,85.72,0
-2.87,2.88,85.93,0
-2.57,2.63,86.32,0
-2.93,2.6,86.08,0
-2.91,2.55,86.13,0
-3.24,2.92,85.64,0
-2.52,2.64,86.35,0
-3.46,2.76,85.57,0
-3.11,2.79,85.82,0
-2.97,2.61,86.05,0
-3.26,2.58,85.84,0
